id,shop_url,shop_name,rank_stars,shop_review,shop_price,shop_area_tag,shop_addr,shop_Q,shop_E,shop_S,adress_s,address_d,lng_wgs84,lat_wgs84,fnid
12,http://www.dianping.com/shop/1766203,长安商场,准五星商户,['808'],['526'],复兴门,复兴门外大街15号,7.9,7.9,7.7,北京复兴门外大街15号长安商场,北京市西城区长安商场,116.339165,39.90662003,146683
14,http://www.dianping.com/shop/1766191,百盛(复兴门店),四星商户,['1249'],['882'],复兴门,复兴门内大街101号,7.8,7.7,7.3,北京复兴门内大街101号百盛(复兴门店),北京市西城区复兴门内大街|101号,116.3515405,39.90714292,147401
15,http://www.dianping.com/shop/8371367,新年华购物中心,四星商户,['326'],['101'],广外大街,马连道路25号,7.9,8,7.7,北京马连道路25号新年华购物中心,北京市西城区新年华购物中心,116.3202537,39.87616517,137395
16,http://www.dianping.com/shop/1766383,西单商场,四星商户,['1520'],['390'],西单,西单北大街120号,7.2,6.9,6.9,北京西单北大街120号西单商场,北京市西城区西单商场,116.3684037,39.91066188,148121
17,http://www.dianping.com/shop/1766389,新街口百货商场,四星商户,['450'],['417'],新街口,新街口南大街7号,7.8,7.5,7.5,北京新街口南大街7号新街口百货商场,北京市西城区新街口百货商场,116.3662381,39.93876219,157402
18,http://www.dianping.com/shop/2092066,菜市口百货中心,准五星商户,['126'],['764'],广内大街,广安门内大街306号,8.8,8.4,8.3,北京广安门内大街306号菜市口百货中心,北京市西城区菜市口百货市场中心,116.3613709,39.88730849,140979
20,http://www.dianping.com/shop/56683757,华联商厦(阜成门店),四星商户,['658'],['184'],西城区,阜外大街1号,7.2,7.1,7,北京阜外大街1号华联商厦(阜成门店),北京市西城区阜外大街|1号,116.3479625,39.92276806,152398
21,http://www.dianping.com/shop/1964020,复兴商业城,准五星商户,['546'],['930'],复兴门,复兴门外大街4号,7.5,7,7.4,北京复兴门外大街4号复兴商业城,北京市西城区复兴商业城,116.34130149999999,39.90575224,146684
22,http://www.dianping.com/shop/2008792,新华百货,准四星商户,['1255'],['192'],新街口,新街口北大街1号,6.9,6.8,6.6,北京新街口北大街1号新华百货,北京市西城区新华百货,116.3645235,39.94640095,159544
23,http://www.dianping.com/shop/23495196,西单购物中心(北京店),四星商户,['46'],[],西单,西单北大街132号,8.2,8,7.9,北京西单北大街132号西单购物中心(北京店),北京市西城区西单购物中心,116.366836,39.90917372,147407
24,http://www.dianping.com/shop/5647600,护国新天地,四星商户,['87'],['107'],新街口,护国寺街85号,8,8.2,8.1,北京护国寺街85号护国新天地,北京市西城区护国新天地,116.3692217,39.93402702,155261
25,http://www.dianping.com/shop/1766263,国华商场(宣武门店),四星商户,['591'],['10954'],宣武门,宣武门西大街18号,7.7,7.4,7.6,北京宣武门西大街18号国华商场(宣武门店),北京市西城区国华商场,116.357454,39.89763042,143833
26,http://www.dianping.com/shop/2923162,永安路百货商场,准五星商户,['191'],['53'],虎坊桥,永安路143号,8.5,7.7,7.9,北京永安路143号永安路百货商场,北京市西城区百货商场,116.3795625,39.88215907,138843
27,http://www.dianping.com/shop/1763146,官园商品批发市场,准四星商户,['802'],['98'],阜成门,车公庄大街甲4号,6.7,6.4,6.3,北京车公庄大街甲4号官园商品批发市场,北京市西城区官园商品批发市场,116.3454426,39.93051198,154539
28,http://www.dianping.com/shop/11253883,SOGO新馆,准四星商户,['79'],['68'],宣武门,宣武门外大街12号,7.2,7.2,7.3,北京宣武门外大街12号SOGO新馆,北京市西城区sogo新馆,116.36938049999999,39.89451553,143123
29,http://www.dianping.com/shop/65829946,大悦城,准四星商户,['10'],[],西单,西单北大街130号,7.5,7.2,7.6,北京西单北大街130号大悦城,北京市西城区大悦城,116.3664625,39.90952013,148120
30,http://www.dianping.com/shop/108190839,泛悦坊,准四星商户,['16'],[],西城区,手帕口南街80号京铁和园A区,7.5,7.8,7.8,北京手帕口南街80号京铁和园A区泛悦坊,北京市西城区京铁和园,116.33686750000001,39.87869251,138114
31,http://www.dianping.com/shop/1766278,虎坊路百货商场,准五星商户,['133'],['36'],虎坊桥,北纬路81号,8.3,8,7.9,北京北纬路81号虎坊路百货商场,北京市西城区百货商场,116.3795625,39.88215907,138843
32,http://www.dianping.com/shop/24568743,西单商场,三星商户,['4'],['124226'],西单,西单北大街120号,9,7,6.2,北京西单北大街120号西单商场,北京市西城区西单商场,116.3684037,39.91066188,148121
33,http://www.dianping.com/shop/4074196,新活馆,准四星商户,['361'],['100'],崇文门,东打磨厂街7号,6.7,6.9,6.8,北京东打磨厂街7号新活馆,北京市东城区新活馆,116.4077318,39.89857322,144565
34,http://www.dianping.com/shop/6060452,鼓楼商场,准四星商户,['6'],[],地安门,鼓楼内大街,7.5,7.5,7.5,北京鼓楼内大街鼓楼商场,北京市昌平区鼓楼商场,116.22711229999999,40.22177677,246605
35,http://www.dianping.com/shop/4169273,富卓大厦,准四星商户,['23'],[],宣武门,宣武外大街28号,7.2,7.2,7.2,北京宣武外大街28号富卓大厦,北京市西城区外大街|28号,116.36053899999999,39.95135189,160970
36,http://www.dianping.com/shop/45305565,大栅栏第一百货商场,三星商户,['24'],[],前门,大栅栏街22号,6.4,6.3,6.4,北京大栅栏街22号大栅栏第一百货商场,北京市西城区第一百货商场,116.3901403,39.89466533,143131
37,http://www.dianping.com/shop/107870391,嘉茂购物中心·西直门,准四星商户,['3'],[],西直门/动物园,西外大街1号凯德MALL2层207,7.1,6.9,6.9,北京西外大街1号凯德MALL2层207嘉茂购物中心·西直门,北京市西城区嘉茂购物中心,116.346627,39.94041058,157396
38,http://www.dianping.com/shop/57850076,王府井购物中心,准四星商户,['2'],[],右安门,右安门内大街72号,7,7,7,北京右安门内大街72号王府井购物中心,北京市西城区王府井购物中心,116.35858359999999,39.87051913,135266
39,http://www.dianping.com/shop/57421103,地铁商城,三星商户,['1'],[],西城区,西城区西直门外大街137号,6.8,6.8,6.8,北京西城区西直门外大街137号地铁商城,北京市西城区地铁商城,116.33142439999999,39.93652512,156677
40,http://www.dianping.com/shop/18018840,迷你百货,准四星商户,['7'],['39'],北太平庄,新街口外大街19号师大北路,7.4,7.4,7.4,北京新街口外大街19号师大北路迷你百货,北京市海淀区新街口外大街|19号,116.36207140000002,39.96064949,163827
41,http://www.dianping.com/shop/74638034,优物美集流行时尚休闲百货,准四星商户,[],[],西单,横二条59号西单明珠市场1层,N,N,N,北京横二条59号西单明珠市场1层优物美集流行时尚休闲百货,北京市西城区优物美集流行时尚休闲百货,116.3692488,39.90912503,147407
42,http://www.dianping.com/shop/24440091,和平门百货商场,三星商户,['3'],[],西城区,和平门甲10号,9,7,6,北京和平门甲10号和平门百货商场,北京市西城区和平门百货商场,116.3784313,39.89909409,144555
43,http://www.dianping.com/shop/2691406,亿兆百货,准四星商户,['13'],[],前门,珠市口东大街16-8号,7,6.9,6.9,北京珠市口东大街16-8号亿兆百货,北京市东城区珠市口东大街|16号|8,116.3963923,39.8905067,141705
44,http://www.dianping.com/shop/21375271,伊伴(汉光百货店),准四星商户,['2'],[],西单,西单北大街176号汉光百货2楼,7.2,7.2,7.2,北京西单北大街176号汉光百货2楼伊伴(汉光百货店),北京市西城区汉光百货,116.3689983,39.90799235,147407
46,http://www.dianping.com/shop/11257715,鑫珠光商场,准四星商户,['1'],[],前门,珠市口东大街9-5号,7,7,7.2,北京珠市口东大街9-5号鑫珠光商场,北京市东城区鑫珠光商场,116.4040854,39.89201696,142421
47,http://www.dianping.com/shop/78075027,田振平百货,准四星商户,['1'],[],西城区,西四北大街42号,7,6.9,7,北京西四北大街42号田振平百货,北京市西城区田振平百货,116.367122,39.92968253,154547
49,http://www.dianping.com/shop/23659310,兴达商场,三星商户,['2'],[],复兴门,复兴门外大街甲3-3号,6.7,6.7,6.8,北京复兴门外大街甲3-3号兴达商场,北京市西城区兴达商场,116.34598559999999,39.90648407,146685
50,http://www.dianping.com/shop/11253995,华硕中心长西商场,三星商户,[],[],牛街,长椿街北临乙1号,N,N,N,北京长椿街北临乙1号华硕中心长西商场,北京市西城区长椿街,116.35737920000001,39.89699555,143833
51,http://www.dianping.com/shop/17940172,惠通永源商场,三星商户,[],[],西直门/动物园,西直门外大街136四达大厦6楼,N,N,N,北京西直门外大街136四达大厦6楼惠通永源商场,北京市西城区惠通永源商场,116.3343838,39.93617158,155964
52,http://www.dianping.com/shop/8065772,前门亿兆商场,三星商户,[],[],牛街,春风胡同11号楼,N,N,N,北京春风胡同11号楼前门亿兆商场,北京市西城区春风胡同|11号楼,116.3589432,39.88396695,139550
72,http://www.dianping.com/shop/27477874,BHG Mall购物中心(广安门店),准四星商户,['154'],['74'],广外大街,广安门外大街180号,6.9,6.7,6.4,北京广安门外大街180号BHGMall购物中心(广安门店),北京市西城区广安门外大街|180,116.3310255,39.88790697,140968
74,http://www.dianping.com/shop/4227604,华熙LIVE,五星商户,['1860'],['242'],五棵松,复兴路69号,9.2,9.2,9.1,北京复兴路69号华熙LIVE,北京市海淀区华熙live,116.2713475,39.90793376,147374
76,http://www.dianping.com/shop/4292043,五彩城,五星商户,['1999'],['354'],清河,清河中街68号,9.1,9.2,9.1,北京清河中街68号五彩城,北京市海淀区清河中街|68号,116.3301206,40.02920767,185950
77,http://www.dianping.com/shop/43572201,世纪金源购物中心,五星商户,['694'],['421'],远大路,远大路1号,9.1,9,9,北京远大路1号世纪金源购物中心,北京市海淀区世纪金源购物中心,116.28179209999999,39.95731149,163086
78,http://www.dianping.com/shop/9886180,五道口购物中心,准五星商户,['349'],['324'],五道口,成府路28号,8.8,8.8,8.8,北京成府路28号五道口购物中心,北京市海淀区五道口购物中心,116.3331067,39.99072377,173813
79,http://www.dianping.com/shop/2004613,新中关购物中心,准五星商户,['3027'],['340'],中关村,中关村大街19号,8.1,8.2,7.8,北京中关村大街19号新中关购物中心,北京市海淀区新中关购物中心,116.3090682,39.97702613,169521
80,http://www.dianping.com/shop/3445984,欧美汇购物中心,准五星商户,['1778'],['408'],中关村,中关村丹棱街甲1号,8.3,8.6,8.1,北京中关村丹棱街甲1号欧美汇购物中心,北京市海淀区欧美汇购物中心,116.30731090000002,39.97846232,169520
81,http://www.dianping.com/shop/1883218,金源新燕莎MALL,五星商户,['1898'],['336'],远大路,远大路1号,8.4,8.6,8.1,北京远大路1号金源新燕莎MALL,北京市海淀区金源新燕莎mall,116.2812779,39.95726417,163085
82,http://www.dianping.com/shop/3477358,BHG Mall购物中心(万柳购物店),准五星商户,['1316'],['306'],苏州桥,巴沟路2号,8.6,8.8,8.4,北京巴沟路2号BHGMall购物中心(万柳购物店),北京市海淀区巴沟路|2号,116.2899322,39.97185222,167372
83,http://www.dianping.com/shop/2320279,枫蓝国际购物中心,准五星商户,['1256'],['260'],北太平庄,西直门北大街32号,8.4,8.6,8.4,北京西直门北大街32号枫蓝国际购物中心,北京市海淀区枫蓝国际购物中心,116.35040009999999,39.95156192,160967
84,http://www.dianping.com/shop/97781716,悦茂购物中心,准五星商户,['188'],['137'],清河,后屯路文龙家园四里4号楼,8.9,8.9,8.9,北京后屯路文龙家园四里4号楼悦茂购物中心,北京市海淀区文龙家园四里,116.34406940000001,40.04147155,189525
85,http://www.dianping.com/shop/3539998,凯德MALL(翠微店),准五星商户,['924'],['232'],公主坟/万寿路,翠微路12号新华联商业大厦,8.6,8.7,8.4,北京翠微路12号新华联商业大厦凯德MALL(翠微店),北京市海淀区凯德mall店,116.2972053,39.91089194,148097
86,http://www.dianping.com/shop/1766353,双安商场,准五星商户,['1490'],['1461'],双榆树,北三环西路38号,8.4,8.3,7.9,北京北三环西路38号双安商场,北京市海淀区双安商场,116.3191769,39.96513543,165240
87,http://www.dianping.com/shop/5479493,凯德晶品购物中心,准五星商户,['1081'],['241'],公主坟/万寿路,复兴路51号,8.7,8.8,8.5,北京复兴路51号凯德晶品购物中心,北京市海淀区凯德晶品购物中心,116.2913628,39.90699763,147381
88,http://www.dianping.com/shop/69718903,融科天地中心,五星商户,['46'],[],中关村,科学院南路2号,9.1,9.1,9,北京科学院南路2号融科天地中心,北京市海淀区科学院南路|2号,116.3206215,39.98179099,170953
89,http://www.dianping.com/shop/1754965,当代商城(中关村店),准五星商户,['1008'],['1017'],双榆树,中关村大街40号,8,8.1,7.6,北京中关村大街40号当代商城(中关村店),北京市海淀区当代商城,116.3147365,39.96926377,166667
90,http://www.dianping.com/shop/5216611,龙湖星悦荟,准五星商户,['143'],['79'],颐和园,颐和园路208号,8.6,8.9,8.5,北京颐和园路208号龙湖星悦荟,北京市海淀区龙湖星悦荟,116.2835355,39.99711551,175224
91,http://www.dianping.com/shop/9632806,京粮广场,准五星商户,['150'],['74'],五棵松,田村路43号,8.4,8.6,8.4,北京田村路43号京粮广场,北京市海淀区京粮广场,116.2477763,39.92979999,154506
92,http://www.dianping.com/shop/8992284,华联商厦(肖家河店),准五星商户,['89'],['217'],上地,龙背村路99号院,8.7,8.8,8.6,北京龙背村路99号院华联商厦(肖家河店),北京市海淀区北京华联,116.2646692,40.0142144,180930
93,http://www.dianping.com/shop/1766221,翠微百货(复兴路店),四星商户,['1376'],['615'],公主坟/万寿路,复兴路33号、29号,7.9,7.8,7.4,北京复兴路33号、29号翠微百货(复兴路店),北京市海淀区翠微百货,116.29836850000001,39.90720912,147383
94,http://www.dianping.com/shop/1766224,翠微百货(牡丹园店),准五星商户,['754'],['527'],北太平庄,花园路2号翠微百货,7.9,8,7.8,北京花园路2号翠微百货翠微百货(牡丹园店),北京市丰台区翠微百货,116.2593162,39.88781139,140944
95,http://www.dianping.com/shop/1766302,华宇时尚购物中心,四星商户,['1839'],['403'],魏公村,中关村南大街2号,7.4,7.3,7.2,北京中关村南大街2号华宇时尚购物中心,北京市海淀区华宇时尚购物中心,116.319565,39.96511769,165240
96,http://www.dianping.com/shop/24321499,燕莎友谊商城(金源店),准五星商户,['235'],['1142'],远大路,远大路1号金源新燕莎MALL东侧B1楼至3楼,8.4,8.7,8.1,北京远大路1号金源新燕莎MALL东侧B1楼至3楼燕莎友谊商城(金源店),北京市海淀区燕莎友谊商城,116.28507809999999,39.95746797,163087
97,http://www.dianping.com/shop/6256071,五棵松购物中心,四星商户,['1518'],['266'],五棵松,复兴路69号中铁广场旁,7.9,8.2,7.8,北京复兴路69号中铁广场旁五棵松购物中心,北京市海淀区五棵松购物中心,116.270401,39.91179154,148802
98,http://www.dianping.com/shop/4287471,圣熙8号购物中心,四星商户,['893'],['304'],五道口,学清路甲8号,7.8,7.9,7.6,北京学清路甲8号圣熙8号购物中心,北京市海淀区圣熙8号购物中心,116.34696459999999,40.00873321,179530
99,http://www.dianping.com/shop/57585494,华联商厦(五道口店),四星商户,['1359'],['199'],五道口,成府路28号五道口商业中心,7.5,7.5,7.2,北京成府路28号五道口商业中心华联商厦(五道口店),北京市海淀区华联商厦,116.33312269999999,39.99057675,173813
100,http://www.dianping.com/shop/1766245,甘家口百货(三里河店),四星商户,['700'],['433'],航天桥,三里河路17号,7.8,7.8,7.6,北京三里河路17号甘家口百货(三里河店),北京市海淀区甘家口百货,116.32677029999999,39.92662738,153105
101,http://www.dianping.com/shop/2540446,北京华联上地购物中心,四星商户,['658'],['151'],上地,农大南路1号硅谷亮城1号楼,7.4,7.6,7.4,北京农大南路1号硅谷亮城1号楼北京华联上地购物中心,北京市海淀区北京华联上地购物中心,116.30535479999999,40.02804771,185228
102,http://www.dianping.com/shop/1882135,上品折扣(五棵松店),四星商户,['856'],['366'],五棵松,西翠路5号今日商业中心一层、二层,7.4,7,7.1,北京西翠路5号今日商业中心一层、二层上品折扣(五棵松店),北京市海淀区上品折扣店,116.27535800000001,39.89921783,144519
103,http://www.dianping.com/shop/1766215,城乡购物中心,四星商户,['866'],['283'],公主坟/万寿路,复兴路甲23号,7.7,7.5,7.6,北京复兴路甲23号城乡购物中心,北京市海淀区城乡购物中心,116.3013554,39.90752593,147384
104,http://www.dianping.com/shop/90911467,西点mall购物中心,四星商户,['82'],['149'],五棵松,永定路88号,8.1,8.1,8.2,北京永定路88号西点mall购物中心,北京市海淀区西点mall购物中心,116.2587735,39.90375598,145942
105,http://www.dianping.com/shop/3644947,翠微广场,四星商户,['313'],['731'],公主坟/万寿路,复兴路29号,7.8,8.1,7.5,北京复兴路29号翠微广场,北京市海淀区翠微广场,116.29934650000001,39.90704545,147384
106,http://www.dianping.com/shop/106513796,圣熙8号购物中心,准四星商户,['15'],[],海淀区,学清路甲8号,7.1,7.3,7.3,北京学清路甲8号圣熙8号购物中心,北京市海淀区圣熙8号购物中心,116.34696459999999,40.00873321,179530
107,http://www.dianping.com/shop/69041240,凯时广场,准四星商户,['31'],['160'],五道口,清华东路甲1号,7.5,7.6,7.6,北京清华东路甲1号凯时广场,北京市海淀区凯时广场,116.33312350000001,39.99994035,176669
108,http://www.dianping.com/shop/2029600,爱普奥特莱斯,准四星商户,['61'],['503'],远大路,西四环北路117号金四季购物中心3-4层,7,7.1,7,北京西四环北路117号金四季购物中心3-4层爱普奥特莱斯,北京市海淀区爱普奥特莱斯,116.2655784,39.94253062,158082
109,http://www.dianping.com/shop/1961659,中发百旺商城,准四星商户,['252'],['188'],颐和园,圆明园西路18号,7.1,7.1,7.2,北京圆明园西路18号中发百旺商城,北京市海淀区中发百旺商城,116.27064820000001,40.02822442,185216
111,http://www.dianping.com/shop/14733372,金码大厦,准四星商户,['28'],['37'],五道口,学院路和清华东路交汇处,7.5,7.2,7.6,北京学院路和清华东路交汇处金码大厦,北京市海淀区金码大厦,116.34783490000001,40.00017013,176674
112,http://www.dianping.com/shop/22423842,大钟寺中坤广场,准四星商户,['164'],['165'],大钟寺,北三环西路甲18号,7.3,7.2,7.1,北京北三环西路甲18号大钟寺中坤广场,北京市海淀区大钟寺中坤广场,116.3356892,39.96496001,165246
113,http://www.dianping.com/shop/6439694,五道口购物广场,准四星商户,['19'],['112'],五道口,五道口新村4号,7.3,7.3,7.2,北京五道口新村4号五道口购物广场,北京市海淀区五道口购物广场,116.33368840000001,39.983132,170957
114,http://www.dianping.com/shop/1766308,金四季购物中心,准四星商户,['129'],['155'],远大路,西四环北路117号,7.4,7.1,7.1,北京西四环北路117号金四季购物中心,北京市海淀区金四季购物中心,116.2655084,39.94294166,158082
115,http://www.dianping.com/shop/98054605,玉泉商业生活中心,准四星商户,['23'],[],海淀区,北坞嘉园南里北坞幼儿园东行100米,7.6,7.6,7.6,北京北坞嘉园南里北坞幼儿园东行100米玉泉商业生活中心,北京市海淀区玉泉商业生活中心,116.2455374,39.97486548,168785
116,http://www.dianping.com/shop/1766260,贵友大厦(金源店),四星商户,['100'],['343'],远大路,远大路1号金源新燕莎MALL中部1-3楼,7.7,8,7.7,北京远大路1号金源新燕莎MALL中部1-3楼贵友大厦(金源店),北京市海淀区贵友大厦,116.2807697,39.95703784,163085
117,http://www.dianping.com/shop/5593332,光耀东方广场,三星商户,['90'],['78'],公主坟/万寿路,羊坊店路18号,6.6,6.7,6.7,北京羊坊店路18号光耀东方广场,北京市海淀区光耀东方广场,116.31588090000001,39.8984245,144533
118,http://www.dianping.com/shop/11250602,卓展时代商城,准四星商户,['2'],[],清河,建材城西路87号,7.1,7.1,7.1,北京建材城西路87号卓展时代商城,北京市昌平区卓展时代商城,116.3244392,40.05669605,194516
119,http://www.dianping.com/shop/18382149,京果商厦,准四星商户,['1'],[],北下关,四道口路2号,7.6,7.6,7.6,北京四道口路2号京果商厦,北京市海淀区京果商厦,116.3396363,39.95891804,163819
120,http://www.dianping.com/shop/5733466,天兰奥特莱斯,三星商户,['14'],['200'],魏公村,北三环西路甲18号中鼎大厦1-2层,6.9,6.7,6.9,北京北三环西路甲18号中鼎大厦1-2层天兰奥特莱斯,北京市海淀区天兰奥特莱斯,116.33460459999999,39.965601,165960
121,http://www.dianping.com/shop/3638407,上奥风尚购物中心,准四星商户,['15'],[],清河,建材城西路87号院,7.4,7.4,7.4,北京建材城西路87号院上奥风尚购物中心,北京市昌平区建材城西路87号院,116.3232618,40.05740228,194516
122,http://www.dianping.com/shop/104884312,城乡购物中心,四星商户,['2'],[],公主坟/万寿路,复兴路甲23号,7.8,7.5,7.5,北京复兴路甲23号城乡购物中心,北京市海淀区城乡购物中心,116.3013554,39.90752593,147384
123,http://www.dianping.com/shop/21015293,迪佳广场,准四星商户,['12'],[],万柳,万柳中路6号院,7.3,7.5,7.3,北京万柳中路6号院迪佳广场,北京市海淀区迪佳广场,116.2917415,39.96773457,165945
124,http://www.dianping.com/shop/2234608,蓝岛金隅百货,准四星商户,['118'],['413'],清河,安宁庄东路1号,6.8,7.1,6.9,北京安宁庄东路1号蓝岛金隅百货,北京市海淀区蓝岛金隅百货,116.3196135,40.04777084,191658
125,http://www.dianping.com/shop/3438928,百旺商城(中发百旺商城店),三星商户,['14'],[],颐和园,圆明园西路18号中发百旺商城4层,6.6,6.6,6.6,北京圆明园西路18号中发百旺商城4层百旺商城(中发百旺商城店),北京市海淀区百旺商城,116.2708291,40.02771926,185216
126,http://www.dianping.com/shop/69863408,康健宝盛广场,准四星商户,['8'],[],海淀区,黑泉路12号,7.4,7.3,7.5,北京黑泉路12号康健宝盛广场,北京市海淀区康健宝盛广场,116.3662437,40.03506506,187390
127,http://www.dianping.com/shop/2298445,西新隆商场,三星商户,['17'],[],公主坟/万寿路,莲花池东路31号,6.6,6.6,6.6,北京莲花池东路31号西新隆商场,北京市海淀区西新隆商场,116.31698759999999,39.89670546,143820
128,http://www.dianping.com/shop/3568384,北京国海广场,准四星商户,['12'],[],公主坟/万寿路,复兴路17号国海广场,7.4,7.4,7.4,北京复兴路17号国海广场北京国海广场,北京市海淀区国海广场,116.3064915,39.90798568,147386
130,http://www.dianping.com/shop/69478673,东方天作商城,准四星商户,['118'],['76'],北下关,中关村南大街12号,6.5,6.3,6.4,北京中关村南大街12号东方天作商城,北京市海淀区东方天作商城,116.317255,39.95992633,163812
131,http://www.dianping.com/shop/17078113,西苑商城,三星商户,['20'],['295'],颐和园,颐和园路200-3号,6.7,6.9,6.8,北京颐和园路200-3号西苑商城,北京市海淀区西苑商城,116.2843773,39.99662036,175224
132,http://www.dianping.com/shop/8936408,蓟鑫大厦,三星商户,['8'],[],五道口,展春园西路2号院,6.9,6.7,6.7,北京展春园西路2号院蓟鑫大厦,北京市海淀区蓟鑫大厦,116.3339264,39.9870034,172385
133,http://www.dianping.com/shop/11266398,同观商业中心,准四星商户,['9'],[],北太平庄,花园路甲2号院4号,7.3,7,7.2,北京花园路甲2号院4号同观商业中心,北京市海淀区同观商业中心,116.36022309999998,39.97875222,169538
134,http://www.dianping.com/shop/4658952,天瑞商城,准四星商户,['10'],[],公主坟/万寿路,莲花池东路118号,6.5,6.6,6.7,北京莲花池东路118号天瑞商城,北京市海淀区天瑞商城,116.31386470000001,39.89614744,143819
135,http://www.dianping.com/shop/1766335,清河百货商场,三星商户,['28'],[],清河,清河三街98号,6.4,6.2,6.4,北京清河三街98号清河百货商场,北京市海淀区清河百货商场,116.33816350000001,40.02960266,185953
136,http://www.dianping.com/shop/98170657,新都生活广场,准四星商户,['4'],[],海淀区,西三旗建材城中路6号,7.1,7.1,7.1,北京西三旗建材城中路6号新都生活广场,北京市海淀区新都儿童生活广场,116.3590259,40.05813907,195242
137,http://www.dianping.com/shop/11268861,金源新天地,三星商户,[],[],远大路,远大路7号,N,N,N,北京远大路7号金源新天地,北京市海淀区金源新天地,116.2861953,39.95768036,163087
138,http://www.dianping.com/shop/4063945,花园路百货商场,准四星商户,['7'],[],北太平庄,花园路1-35号,6.9,6.8,6.9,北京花园路1-35号花园路百货商场,北京市海淀区百货商场,116.3586664,39.98025131,170252
139,http://www.dianping.com/shop/11268748,安泰购物中心,三星商户,[],[],海淀其它,西北旺镇韩家川村,N,N,N,北京西北旺镇韩家川村安泰购物中心,北京市海淀区安泰购物中心,116.24117350000002,40.04371936,190204
140,http://www.dianping.com/shop/32686106,万柳新天地,准四星商户,[],[],海淀区,苏州街西300米万柳东路,N,N,N,北京苏州街西300米万柳东路万柳新天地,北京市海淀区万柳新天地,116.29723419999999,39.95939492,163805
141,http://www.dianping.com/shop/18018840,迷你百货,准四星商户,['7'],['39'],北太平庄,新街口外大街19号师大北路,7.4,7.4,7.4,北京新街口外大街19号师大北路迷你百货,北京市海淀区新街口外大街|19号,116.36207140000002,39.96064949,163827
142,http://www.dianping.com/shop/15187554,清河商业城,准四星商户,['3'],[],清河,清河安宁庄东路18号,7.7,7.7,7.7,北京清河安宁庄东路18号清河商业城,北京市海淀区清河商业城,116.3264086,40.04144212,189519
143,http://www.dianping.com/shop/2073664,今日商业中心,准四星商户,['25'],['46'],五棵松,西翠路5号今日家园内,6.5,6.3,6.4,北京西翠路5号今日家园内今日商业中心,北京市海淀区今日商业中心,116.27686010000001,39.89950407,144520
